Code;Description
A00;Cholera
A000;Cholera durch Vibrio cholerae O:1, Biovar cholerae
A001;Cholera durch Vibrio cholerae O:1, Biovar eltor
A009;Cholera, nicht naeher bezeichnet
A01;Typhus abdominalis und Paratyphus
A010;Typhus abdominalis
A011;Paratyphus A
A012;Paratyphus B
A013;Paratyphus C
A014;Paratyphus, nicht naeher bezeichnet
A02;Sonstige Salmonelleninfektionen
A020;Salmonellenenteritis
A021;Salmonellensepsis
A022;Lokalisierte Salmonelleninfektionen
A028;Sonstige naeher bezeichnete Salmonelleninfektionen
A029;Salmonelleninfektion, nicht naeher bezeichnet
A03;Shigellose [Bakterielle Ruhr]
A030;Shigellose durch Shigella dysenteriae
A031;Shigellose durch Shigella flexneri
A032;Shigellose durch Shigella boydii
A033;Shigellose durch Shigella sonnei
A038;Sonstige Shigellosen
A039;Shigellose, nicht naeher bezeichnet
A04;Sonstige bakterielle Darminfektionen
A040;Darminfektion durch enteropathogene Escherichia coli
A041;Darminfektion durch enterotoxinbildende Escherichia coli
A042;Darminfektion durch enteroinvasive Escherichia coli
A043;Darminfektion durch enterohaemorrhagische Escherichia coli
A044;Sonstige Darminfektionen durch Escherichia coli
A045;Enteritis durch Campylobacter
A046;Enteritis durch Yersinia enterocolitica
A047;Enterokolitis durch Clostridium difficile
A0470;Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen
A0471;Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen
A0472;Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen
A0473;Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen
A0479;Enterokolitis durch Clostridium difficile, nicht naeher bezeichnet
A048;Sonstige naeher bezeichnete bakterielle Darminfektionen
A049;Bakterielle Darminfektion, nicht naeher bezeichnet
A05;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A050;Lebensmittelvergiftung durch Staphylokokken
A051;Botulismus
A052;Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
A053;Lebensmittelvergiftung durch Vibrio parahaemolyticus
A054;Lebensmittelvergiftung durch Bacillus cereus
A058;Sonstige naeher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
A059;Bakteriell bedingte Lebensmittelvergiftung, nicht naeher bezeichnet
A06;Amaebiasis
A060;Akute Amaebenruhr
A061;Chronische intestinale Amaebiasis
A062;Nichtdysenterische Kolitis durch Amaeben
A063;Amaebom des Darmes
A064;Leberabszess durch Amoeben
